name,potal_code_condo
1 King West Hotel and Residence,M5H
100 Yorkville at Bellair,M5R
111 Richmond W / Richmond Adelaide Centre,M5H
155 Cumberland and 130 Bloor Street West,M5R
1717 Avenue Road Condos,M5M
18 Yonge Condos,M5E
18 Yorkville Condos,M4W
180 Wellington West,M5J
181 Davenport,M5R
20 Stewart Condos,M5V
22 Condominiums,M4Y
305 Roehampton,M4P
32 Camden,M5V
400 Wellington West,M5V
4804-4812 Yonge Street,M2N
500 Sherbourne,M4X
500 Wellington West,M5V
550 Wellington West and Thompson Hotel,M5V
60 Richmond Street East,M5C
66 Portland Condo,M8Y
77 Charles West,M5S
8 Chichester Place,M1T
8 Gladstone,M6K
83 Redpath Ave,NaN
Absolute World,M3C
Accolade Condo,M2J
Aria,M6J
Art Condos,M4V
"Avenue, The",M2K
"Bayview Terraced Condominium Residences, The",NaN
"Berczy, The",M6G
Beyond The Sea,M4W
BioSteel Centre (Toronto Raptors Training Centre),NaN
Block Condos,M6J
Bloor Street Neighbourhood Condos,M1J
Bloor Street Revitalization,M1J
Bohemian Embassy Flats + Lofts,M4M
Boutique Condos,M5G
Brentwood Public Library,M8Y
Bridgepoint Hospital,NaN
Burano,M4Y
California Condominiums,Ont
CAMH Queen Street Redevelopment,M1P
Canoe Landing Park,M5V
Casa,L5B
Centennial College Library and Academic Facility,M5P
Centro Condos,M5V
Charlie Condos,M4M
Chicago Condos,M5E
Churchill Park Condos,M4L
CityPlace Puente de Luz Bridge,M4Y
Clear Spirit,M4Y
"CN Tower Entry Pavilion, Plaza, Renos",NaN
Cornerstone Terrace Condos,M2N
Couture The Condominium,M5C
CrystalBlu Condos,M2K
Cube Lofts,M5V
Daniels Spectrum,M5A
Deerhurst Resort,M4M
Dia Condos,M6J
"Dineen Building, The",M8V
Discovery at Concord Park Place,M5A
Downtown Condos at Wellington West,M5V
East Lofts Condos,M9N
Eaton Centre,NaN
Edition Richmond,M5R
Eleven Superior,M5E
Evergreen Brick Works,M3M
Fashion District Lofts,M6G
Festival Tower and tiff Bell Lightbox,M5H
First Canadian Place Rejuvenation,NaN
First Parliament Interpretive Centre,M5E
"Florian, The",M5V
Fly Condos,M3H
Forensic Services and Coroner's Complex,M5V
"Forest Hill 1 + 2, The",M8Y
Four Seasons Centre for the Performing Arts,M4Y
Four Seasons Hotel and Private Residences Toronto,M4Y
"Garrison at The Yards, The",M5A
George Brown College Waterfront Campus,M5C
Gl_s Condos,M6K
Gramercy Park Condos,M4M
"Hudson Condos, The",M5B
iLoft,M6K
James Cooper Mansion,L5B
King East Centre,M2N
"King East, The",M4R
"King Edward Private Residences, The",M5H
King West Life Condominiums,M5V
Leslieville Lofthouses,M5E
Li Ka Shing Knowledge Institute,M5V
Liberty Market Lofts,M5V
Limelight Condominiums,M5V
Linea on Bayview,M5V
Living Life on the Avenue,M5V
Living Shangri-La Toronto,M5E
Lofts 399,M5E
London On The Esplanade Condos,M5E
LTD Condos,M4S
Lumiere Condominiums,M6J
Luna at Concord CityPlace,L5M
M5V Condominiums,M5A
Malibu Harbourfront Condo,M5C
Maple Leaf Square,M5G
Market Street Redevelopment,M5S
Market Wharf,M8Y
Minto Midtown,M5V
Minto775 King West,M5V
Miracle In Mississauga Condos,L6S
"Modern, The",M8Y
Motion On Bay Street,M8Y
Murano,M5S
MuseumHouse,L5B
Nautilus Condos,NaN
Neptune + Neptune 2 Condominiums,M5V
North Shore Condos,M5V
Norton Lake Residence,M6K
NXT & NXT2 Condominiums,M9B
NY Place,L5A
One Bedford,M4Y
One Park Tower,L1V
