Name,Address,postal_code,postal_code_3,postal_code_6,Type
209 - QUEEN ST EXPRESS,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
BBQ PIT SOUTH,170 PRINCES BLVD, M6K 3C3,M6K,3C3,Food Take Out
CHELSEA HOTEL - MONARCH PUB,33 GERRARD ST W, M5G 1Z4,M5G,1Z4,Cocktail Bar / Beverage Room
CHELSEA HOTEL - T BAR,33 GERRARD ST W, M5G 1Z4,M5G,1Z4,Cocktail Bar / Beverage Room
CHELSEA HOTEL MARKET GARDEN,33 GERRARD ST W, M5G 1Z4,M5G,1Z4,Restaurant
EMIYE MINI MART AND VARIETY STORE,2514 EGLINTON AVE W, M6M 1T1,M6M,1T1,Bakery
KEG RESTAURANTS LTD,1977 LESLIE ST, M3B 2M3,M3B,2M3,Restaurant
PIZZA PORTABLE,100 PRINCES BLVD, M6K 3C3,M6K,3C3,Food Take Out
'K' STORE,99 CARLTON ST, M5B 1M1,M5B,1M1,Food Store (Convenience / Variety)
(FAMOUS PLAYERS )CINEPLEX ENTERTAINMENT,2190 YONGE ST, M4S 2B8,M4S,2B8,Food Take Out
*-SUNNYLEA COOP NURSERY SCHOOL,86 MONTGOMERY RD, M9A 3N5,M9A,3N5,Child Care - Food Preparation
0109 DESSERT + CHOCOLATE,2190 MCNICOLL AVE, M1V 0B3,M1V,0B3,Restaurant
1 PLUS 1 PIZZA,361 OAKWOOD AVE, M6E 2W1,M6E,2W1,Food Take Out
1 PLUS 2 PIZZA & WING,3260 DUNDAS ST W, M6P 2A3,M6P,2A3,Food Take Out
1 PLUS 2 PIZZA AND WINGS,1540 DANFORTH AVE, M4J 1N4,M4J,1N4,Food Take Out
1 PLUS 3 PIZZA & WINGS 1,1798 JANE ST, M9N 2T2,M9N,2T2,Food Take Out
1-SATELLITE KITCHEN,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
100% KOREAN,4779 STEELES AVE E, M1V 4S5,M1V,4S5,Food Take Out
1000 VARIETY,1000 PAPE AVE, M4K 3V7,M4K,3V7,Food Store (Convenience / Variety)
106-MUDDY YORK,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
109-MUDDY YORK,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
10TATION EVENT CATERING,232 NORSEMAN ST, M8Z 2R4,M8Z,2R4,Food Caterer
114-HOGGS HOLLOW ICE COMPANY,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
114-TIM HORTONS C07,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
115-PIZZA PIZZA,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
117-CORKTOWN FRESH BURGER,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
117511 ONTARIO LTD.,2242 KINGSTON RD, M1N 1T9,M1N,1T9,Food Processing Plant
118 TROPICAL DESIRE,360A OLD WESTON RD, M6N 3A8,M6N,3A8,Restaurant
12 BAR,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
12 FORTY EIGHT,1248 ST CLAIR AVE W, M6E 1B7,M6E,1B7,Restaurant
120 DINER,120 CHURCH ST, M5C 2G8,M5C,2G8,Restaurant
120-HOGTOWN GRILL,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
121-CARVERY,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
123-QUEEN STREET,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
125-SHOPSY'S,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
128-HOGTOWN GRILL CONCESSION,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
128-TIM HORTONS,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
131-GARRISON CREEK FLAT GRILL,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
132-OLDE SPADINA AVENUE KOSHER,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
134- QSL + MYM GOURMET FRITES,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
1369 DUNDAS ST WEST,1369 DUNDAS ST W, M6J 1Y3,M6J,1Y3,Cocktail Bar / Beverage Room
137-QUEEN STREET EXPRESS,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
147 ELDER ST INC.,147 ELDER ST, M3H 5G9,M3H,5G9,Retirement Homes(Licensed)
149 TYNDALL HOUSE,149 TYNDALL AVE, M6K 2G1,M6K,2G1,Boarding / Lodging Home - Kitchen
18 SMOKE SHOP & VARIETY,222 SPADINA AVE, M5T 3B3,M5T,3B3,Food Store (Convenience / Variety)
180SECONDI,21 ST CLAIR AVE W, M4V 1K6,M4V,1K6,Restaurant
1810 DANFORTH AVENUE SOCIAL CLUB,1810 DANFORTH AVE, M4C 1H8,M4C,1H8,Restaurant
187 DUNN,187 DUNN AVE, M6K 2S1,M6K,2S1,Boarding / Lodging Home - Kitchen
1945261 ONTARIO INC,372 PACIFIC AVE, M6P 2R1,M6P,2R1,Mobile Food Preparation Premises
19TH HOLE GRILL,550 CENTENNIAL PARK BLVD, M9C 5R5,M9C,5R5,Restaurant
19TH HOLE SPORTS BAR AND GRILL,434 ROGERS RD, M6M 1A5,M6M,1A5,Restaurant
2 4 1 PIZZA,225 THE EAST MALL, M9B 6J1,M9B,6J1,Food Take Out
2 4 1 PIZZA,1349 ST CLAIR AVE W, M6E 1C5,M6E,1C5,Food Take Out
2 4 1 PIZZA,1383 DAVENPORT RD, M6H 2H6,M6H,2H6,Food Take Out
2 4 1 PIZZA,235 DIXON RD, M9P 2M5,M9P,2M5,Food Take Out
2 4 1 PIZZA,1 YORK GATE BLVD, M3N 3A1,M3N,3A1,Food Take Out
2 BROS CUISINE,1500 ROYAL YORK RD, M9P 3B6,M9P,3B6,Food Take Out
2 CATS COCKTAIL LOUNGE,569 KING ST W, M5V 1M1,M5V,1M1,Cocktail Bar / Beverage Room
2 OR 3 PIZZA & WINGS,2382 LAKE SHORE BLVD W, M8V 1C5,M8V,1C5,Food Take Out
2 Q VIDEO,830 BLOOR ST W, M6G 1M2,M6G,1M2,Food Store (Convenience / Variety)
2-4-1 PIZZA,1468 QUEEN ST W, M6K 1M4,M6K,1M4,Food Take Out
2-4-1 PIZZA,759 JANE ST, M6N 4B3,M6N,4B3,Food Take Out
2-4-1 PIZZA,3815 LAKE SHORE BLVD W, M8W 1R2,M8W,1R2,Food Take Out
2-4-1 PIZZA,3155 EGLINTON AVE E, M1J 2G2,M1J,2G2,Food Take Out
2-4-1 PIZZA,1016 GERRARD ST E, M4M 1Z3,M4M,1Z3,Food Take Out
2-4-1 PIZZA,1756 LAWRENCE AVE E, M1R 2Y1,M1R,2Y1,Food Take Out
2-4-1 PIZZA,4909 DUNDAS ST W, M9A 1B2,M9A,1B2,Food Take Out
2-4-1 PIZZA,2372 EGLINTON AVE E, M1K 2P3,M1K,2P3,Food Take Out
2-4-1 PIZZA,2291 KIPLING AVE, M9W 4L6,M9W,4L6,Food Take Out
2-4-1 PIZZA,1050 PAPE AVE, M4K 3W5,M4K,3W5,Food Take Out
2-4-1 PIZZA,2548 EGLINTON AVE W, M6M 1T1,M6M,1T1,Food Take Out
2-4-1 PIZZA,2834 VICTORIA PARK AVE, M2J 4A8,M2J,4A8,Food Take Out
2-4-1 PIZZA #37,1055 BLOOR ST W, M6H 1M4,M6H,1M4,Food Take Out
2-BIG SMOKE FOOD CO (200 LEVEL),1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
2-SATELLITE KITCHEN,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
204 - WEST JET FLIGHT DECK,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
204 - WEST JET FLIGHT DECK,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
21 SEVEN MARKET,1000 BLOOR ST W, M6H 1L8,M6H,1L8,Supermarket
211-V-CONCESSION,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
214-GARRISON CREEK GRILL,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
215-TWELVE KITCHEN,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
218 EXPRESS,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
220-MYM GOURMET FRITES,1 BLUE JAYS WAY, M5V 1J4,M5V,1J4,Food Take Out
2220956 ONTARIO INC.,1015 LAKE SHORE BLVD E, M4M 1B4,M4M,1B4,Hot Dog Cart
