month_of_infraction,amount_of_tickets
200901,222290
200902,232844
200903,268743
200904,241657
200905,245505
200906,239740
200907,215658
200908,215686
200909,229028
200910,231169
200911,221958
200912,210275
201001,226963
201002,210030
201003,261877
201004,236548
201005,242440
201006,223608
201007,225609
201008,228402
201009,227357
201010,233952
201011,235947
201012,207312
201101,205718
201102,200457
201103,255465
201104,239634
201105,246352
201106,252533
201107,229377
201108,238999
201109,232427
201110,234706
201111,242106
201112,227718
201201,229775
201202,225932
201203,258448
201204,228756
201205,236337
201206,226623
201207,222228
201208,225549
201209,226188
201210,234020
201211,234703
201212,197595
201301,206505
201302,181477
201303,223007
201304,226021
201305,235693
201306,229704
201307,227528
201308,230264
201309,221111
201310,233623
201311,228940
201312,169283
201401,187213
201402,184415
201403,226228
201404,217684
201405,226024
201406,222711
201407,209305
201408,204807
201409,204315
201410,212986
201411,202792
201412,186503
201501,178851
201502,143634
201503,190925
201504,177631
201505,184904
201506,183359
201507,197849
201508,179442
201509,180209
201510,187802
201511,182195
201512,181692
