name,potal_code_condo
1 King West Hotel and Residence,"1 King West, Toronto"
100 Yorkville at Bellair,"100 Yorkville Avenue, Toronto"
111 Richmond W / Richmond Adelaide Centre,"111 Richmond Street West, Toronto"
155 Cumberland and 130 Bloor Street West,"155 Cumberland Ave, Toronto"
1717 Avenue Road Condos,"1717 Avenue Road, Toronto"
18 Yonge Condos,"18 Yonge St., Toronto"
18 Yorkville Condos,"18 Yorkville Avenue, Toronto"
180 Wellington West,"180 Wellington St W, Toronto"
181 Davenport,"181 Davenport Rd, Toronto"
20 Stewart Condos,"20 Stewart St, Toronto"
22 Condominiums,"22 Wellesley St E, Toronto"
305 Roehampton,"305 Roehampton Avenue, Toronto"
32 Camden,"32 Camden St, Toronto"
400 Wellington West,"400 Wellington St. W., Toronto"
4804-4812 Yonge Street,"4812 Yonge Street, Toronto"
500 Sherbourne,"500 Sherbourne Street, Toronto"
500 Wellington West,"500 Wellington St W, Toronto"
550 Wellington West and Thompson Hotel,"550 Wellington St W, Toronto"
60 Richmond Street East,"60 Richmond Street East, Toronto"
66 Portland Condo,"66 Portland St, Toronto"
77 Charles West,"77 Charles Street West, Toronto"
8 Chichester Place,"8 Chichester Place, Toronto"
8 Gladstone,"8 Gladstone Ave, Toronto"
83 Redpath Ave,"83 Redpath Ave, Toronto"
Absolute World,"50 Absolute Dr., Toronto"
Accolade Condo,"181 Wynford Dr., Toronto"
Aria,"Buchan Ct, Toronto"
Art Condos,"44 Dovercourt Rd, Toronto"
"Avenue, The","155 St Clair Ave West, Toronto"
"Bayview Terraced Condominium Residences, The","17 Rean Dr, North York"
"Berczy, The","17 Rean Dr, North York"
Beyond The Sea,"Lake Shore Blvd W at Legion Rd, Toronto"
BioSteel Centre (Toronto Raptors Training Centre),"486 Shaw Street, Toronto"
Block Condos,"35 Hayden Street, Toronto"
Bloor Street Neighbourhood Condos,"35 Hayden Street, Toronto"
Bloor Street Revitalization,"Bloor St W and Bay St, Toronto"
Bohemian Embassy Flats + Lofts,"1169 Queen Street West, Toronto"
Boutique Condos,"21 Nelson St, Toronto"
Brentwood Public Library,"21 Nelson St, Toronto"
Bridgepoint Hospital,"14 St Matthews Rd, Toronto"
Burano,"832 Bay St., Toronto"
California Condominiums,"185 Legion Road North, Etobicoke"
CAMH Queen Street Redevelopment,"1001 Queen Street West, Toronto"
Canoe Landing Park,"Fort York Boulevard and Dan Leckie Way, Toronto"
Casa,"33 Charles East, Toronto"
Centennial College Library and Academic Facility,"959 Progress Ave., Toronto"
Centro Condos,"25 Town Centre Court, Scarborough"
Charlie Condos,"430 King Street West, Toronto"
Chicago Condos,"385 Prince of Wales Drive, Mississauga"
Churchill Park Condos,"330 Spadina Road, Toronto"
CityPlace Puente de Luz Bridge,"524 Front Street West, Toronto"
Clear Spirit,"Cherry & Mill, Toronto"
"CN Tower Entry Pavilion, Plaza, Renos","CN Tower, Toronto"
Cornerstone Terrace Condos,"323 Kingston Road, Toronto"
Couture The Condominium,"28 Ted Rogers Way, Toronto"
CrystalBlu Condos,"21 Balmuto Street, Toronto"
Cube Lofts,"799 College Street, Toronto"
Daniels Spectrum,"Dundas Street East at Sackville Street, Toronto"
Deerhurst Resort,"1235 Deerhurst Drive, Huntsville"
Dia Condos,"30 Canterbury Pl, Toronto"
"Dineen Building, The","140 Yonge Street, Toronto"
Discovery at Concord Park Place,"33 Singer Court, Toronto"
Downtown Condos at Wellington West,"508 Wellington Street West, Toronto"
East Lofts Condos,"275 King St E, Toronto"
Eaton Centre,"1 Dundas West, Toronto"
Edition Richmond,"856 Richmond St W, Toronto"
Eleven Superior,"11 Superior Ave, Etobicoke"
Evergreen Brick Works,"550 Bayview Av, Toronto"
Fashion District Lofts,"455 Adelaide St W, Toronto"
Festival Tower and tiff Bell Lightbox,"80 John Street , Toronto"
