postal_code,ticket,food_provider,building
BN7,8,0,0
K4A,215,0,0
K7L,1,0,0
L1V,0,0,2
L1W,25,0,0
L3R,69,0,0
L3T,211,0,0
L4J,455,0,0
L4K,1,0,0
L4W,29,0,0
L4X,5,0,0
L5A,0,0,1
L5B,0,0,4
L5C,869,0,0
L5E,1,0,0
L5J,0,0,1
L5L,0,0,6
L5M,0,0,2
L6S,0,0,1
L7L,0,0,1
M1B,2305,186,0
M1C,230,75,0
M1E,525,159,0
M1G,200,72,1
M1H,337,158,0
M1J,454,133,2
M1K,606,154,0
M1L,1138,187,0
M1M,151,69,0
M1N,345,78,0
M1P,954,282,1
M1R,388,184,0
M1S,203,271,1
M1T,265,130,1
M1V,319,340,0
M1W,1149,109,2
M1X,55,48,0
M2H,308,61,0
M2J,1816,183,1
M2K,1237,75,2
M2L,28,19,0
M2M,592,138,0
M2N,8433,299,6
M2P,15,24,0
M2R,326,62,0
M2S,170,0,0
M2W,3,0,0
M2Z,42,0,0
M36,1,0,0
M3A,572,62,0
M3B,100,103,0
M3C,1233,127,1
M3H,516,149,2
M3H5S8,0,1,0
M3J,2605,273,0
M3K,314,112,0
M3L,183,75,0
M3M,589,77,1
M3N,998,136,0
M3T,0,2,0
M3V,0,1,0
M4A,180,64,0
M4B,192,88,0
M4C,3571,228,0
M4E,2508,121,0
M4G,1843,142,0
M4H,490,67,0
M4J,3221,194,0
M4K,5782,236,0
M4L,4038,204,2
M4M,3703,260,7
M4N,1699,106,0
M4P,3833,163,2
M4R,1803,23,1
M4S,3879,157,1
M4T,1354,83,0
M4V,1818,36,1
M4W,2296,185,3
M4X,1489,85,1
M4Y,4561,224,12
M5A,6523,307,9
M5B,3692,271,2
M5C,2937,130,7
M5E,4136,143,8
M5G,5122,254,3
M5H,2925,234,6
M5J,867,242,2
M5K,0,8,0
M5L,0,23,0
M5M,2063,75,1
M5N,567,46,0
M5P,1730,37,1
M5R,5871,192,4
M5S,5955,270,5
M5T,7912,494,0
M5V,9796,599,29
M5W,159,1,0
M5X,85,67,0
M6A,1044,198,0
M6B,439,114,0
M6C,2348,161,0
M6E,3737,244,0
M6G,5036,319,2
M6H,3420,330,0
M6J,8317,335,5
M6J ,0,0,1
M6K,4971,630,7
M6L,229,43,0
M6M,1846,186,0
M6N,2244,213,0
M6P,3485,218,0
M6R,2854,202,0
M6S,2670,162,0
M7A,0,4,0
M8V,1832,191,1
M8W,855,117,0
M8X,1840,94,0
M8Y,1952,95,7
M8Z,396,217,0
M9A,766,77,0
M9B,405,128,1
M9C,675,173,0
M9L,245,90,0
M9M,271,103,0
M9N,1156,168,2
M9P,142,56,0
M9R,1492,51,0
M9V,471,220,0
M9W,286,369,0
Ont,0,0,1
V8V,1,0,0
